dataset_name,variable_name,missing_values,missing_percentage
demographics,RIDAGEMN,14573,93.66
demographics,RIDEXPRG,13686,87.96
demographics,DMDYRUSZ,12532,80.54
demographics,AIALANGA,7336,47.15
demographics,DMDEDUC2,6328,40.67
demographics,DMDMARTZ,6328,40.67
demographics,MIAPROXY,4560,29.31
demographics,MIALANG,4560,29.31
demographics,MIAINTRP,4560,29.31
demographics,INDFMPIR,2201,14.15
demographics,RIDEXMON,1260,8.1
demographics,FIAPROXY,1079,6.93
demographics,FIALANG,1079,6.93
demographics,FIAINTRP,1079,6.93
demographics,RIDRETH3,0,0.0
demographics,RIDRETH1,0,0.0
demographics,SEQN,0,0.0
demographics,SDDSRVYR,0,0.0
demographics,RIDSTATR,0,0.0
demographics,RIAGENDR,0,0.0
demographics,RIDAGEYR,0,0.0
demographics,DMDBORN4,0,0.0
demographics,SIAPROXY,0,0.0
demographics,SIAINTRP,0,0.0
demographics,SIALANG,0,0.0
demographics,WTINTPRP,0,0.0
demographics,WTMECPRP,0,0.0
demographics,SDMVPSU,0,0.0
demographics,SDMVSTRA,0,0.0
body_measures,BMIHEAD,14300,100.0
body_measures,BMIRECUM,14257,99.7
body_measures,BMIHT,14129,98.8
body_measures,BMXHEAD,13990,97.83
body_measures,BMIHIP,13924,97.37
body_measures,BMIARML,13813,96.59
body_measures,BMILEG,13812,96.59
body_measures,BMIARMC,13807,96.55
body_measures,BMIWT,13712,95.89
body_measures,BMIWAIST,13683,95.69
body_measures,BMXRECUM,12830,89.72
body_measures,BMDBMIC,9551,66.79
body_measures,BMXHIP,4438,31.03
body_measures,BMXLEG,3316,23.19
body_measures,BMXWAIST,1726,12.07
body_measures,BMXBMI,1163,8.13
body_measures,BMXHT,1143,7.99
body_measures,BMXARMC,816,5.71
body_measures,BMXARML,810,5.66
body_measures,BMXWT,225,1.57
body_measures,SEQN,0,0.0
body_measures,BMDSTATS,0,0.0
smoking,SMD630,11077,99.46
smoking,SMQ078,9842,88.37
smoking,SMQ621,9767,87.7
smoking,SMD100MN,9545,85.71
smoking,SMD100FL,9545,85.71
smoking,SMD650,9450,84.85
smoking,SMQ670,9431,84.68
smoking,SMD641,9393,84.34
smoking,SMQ050U,9075,81.49
smoking,SMD057,8932,80.2
smoking,SMQ050Q,8932,80.2
smoking,SMD030,7248,65.08
smoking,SMQ040,7248,65.08
smoking,SMQ020,1444,12.97
smoking,SEQN,0,0.0
smoking,SMAQUEX2,0,0.0
diabetes,DIQ060U,14568,97.21
diabetes,DID060,14559,97.15
diabetes,DID250,13879,92.61
diabetes,DIQ260U,13851,92.43
diabetes,DIQ350U,13820,92.22
diabetes,DIQ280,13768,91.87
diabetes,DIQ291,13765,91.85
diabetes,DID330,13637,91.0
diabetes,DID350,13556,90.46
diabetes,DID341,13556,90.46
diabetes,DIQ300S,13553,90.44
diabetes,DIQ300D,13553,90.44
diabetes,DIQ080,13552,90.43
diabetes,DIQ360,13552,90.43
diabetes,DID320,13552,90.43
diabetes,DID310S,13551,90.42
diabetes,DID310D,13551,90.42
diabetes,DID260,13546,90.39
diabetes,DID040,13543,90.37
diabetes,DIQ240,13543,90.37
diabetes,DIQ230,13543,90.37
diabetes,DIQ275,13543,90.37
diabetes,DIQ050,13541,90.36
diabetes,DIQ070,12307,82.12
diabetes,DIQ160,5470,36.5
diabetes,DIQ180,5190,34.63
diabetes,DIQ010,0,0.0
diabetes,SEQN,0,0.0
