dataset_name,variable_name,data_type,non_missing_values,missing_values,unique_values,missing_percentage
demographics,SEQN,float64,15560,0,15560,0.0
demographics,SDDSRVYR,float64,15560,0,1,0.0
demographics,RIDSTATR,float64,15560,0,2,0.0
demographics,RIAGENDR,float64,15560,0,2,0.0
demographics,RIDAGEYR,float64,15560,0,81,0.0
demographics,RIDAGEMN,float64,987,14573,25,93.66
demographics,RIDRETH1,float64,15560,0,5,0.0
demographics,RIDRETH3,float64,15560,0,6,0.0
demographics,RIDEXMON,float64,14300,1260,2,8.1
demographics,DMDBORN4,float64,15560,0,4,0.0
demographics,DMDYRUSZ,float64,3028,12532,6,80.54
demographics,DMDEDUC2,float64,9232,6328,7,40.67
demographics,DMDMARTZ,float64,9232,6328,5,40.67
demographics,RIDEXPRG,float64,1874,13686,3,87.96
demographics,SIALANG,float64,15560,0,2,0.0
demographics,SIAPROXY,float64,15560,0,2,0.0
demographics,SIAINTRP,float64,15560,0,2,0.0
demographics,FIALANG,float64,14481,1079,2,6.93
demographics,FIAPROXY,float64,14481,1079,2,6.93
demographics,FIAINTRP,float64,14481,1079,2,6.93
demographics,MIALANG,float64,11000,4560,2,29.31
demographics,MIAPROXY,float64,11000,4560,2,29.31
demographics,MIAINTRP,float64,11000,4560,2,29.31
demographics,AIALANGA,float64,8224,7336,3,47.15
demographics,WTINTPRP,float64,15560,0,13537,0.0
demographics,WTMECPRP,float64,15560,0,12738,0.0
demographics,SDMVPSU,float64,15560,0,3,0.0
demographics,SDMVSTRA,float64,15560,0,24,0.0
demographics,INDFMPIR,float64,13359,2201,480,14.15
body_measures,SEQN,float64,14300,0,14300,0.0
body_measures,BMDSTATS,float64,14300,0,4,0.0
body_measures,BMXWT,float64,14075,225,1513,1.57
body_measures,BMIWT,float64,588,13712,3,95.89
body_measures,BMXRECUM,float64,1470,12830,512,89.72
body_measures,BMIRECUM,float64,43,14257,1,99.7
body_measures,BMXHEAD,float64,310,13990,101,97.83
body_measures,BMIHEAD,float64,0,14300,0,100.0
body_measures,BMXHT,float64,13157,1143,1110,7.99
body_measures,BMIHT,float64,171,14129,2,98.8
body_measures,BMXBMI,float64,13137,1163,478,8.13
body_measures,BMDBMIC,float64,4749,9551,4,66.79
body_measures,BMXLEG,float64,10984,3316,260,23.19
body_measures,BMILEG,float64,488,13812,1,96.59
body_measures,BMXARML,float64,13490,810,366,5.66
body_measures,BMIARML,float64,487,13813,1,96.59
body_measures,BMXARMC,float64,13484,816,414,5.71
body_measures,BMIARMC,float64,493,13807,1,96.55
body_measures,BMXWAIST,float64,12574,1726,1105,12.07
body_measures,BMIWAIST,float64,617,13683,1,95.69
body_measures,BMXHIP,float64,9862,4438,834,31.03
body_measures,BMIHIP,float64,376,13924,1,97.37
smoking,SEQN,float64,11137,0,11137,0.0
smoking,SMQ020,float64,9693,1444,4,12.97
smoking,SMD030,float64,3889,7248,55,65.08
smoking,SMQ040,float64,3889,7248,3,65.08
smoking,SMQ050Q,float64,2205,8932,55,80.2
smoking,SMQ050U,float64,2062,9075,4,81.49
smoking,SMD057,float64,2205,8932,35,80.2
smoking,SMQ078,float64,1295,9842,9,88.37
smoking,SMD641,float64,1744,9393,30,84.34
smoking,SMD650,float64,1687,9450,32,84.85
smoking,SMD100FL,float64,1592,9545,3,85.71
smoking,SMD100MN,float64,1592,9545,3,85.71
smoking,SMQ670,float64,1706,9431,2,84.68
smoking,SMQ621,float64,1370,9767,9,87.7
smoking,SMD630,float64,60,11077,10,99.46
smoking,SMAQUEX2,float64,11137,0,2,0.0
diabetes,SEQN,float64,14986,0,14986,0.0
diabetes,DIQ010,float64,14986,0,4,0.0
diabetes,DID040,float64,1443,13543,82,90.37
diabetes,DIQ160,float64,9516,5470,3,36.5
diabetes,DIQ180,float64,9796,5190,4,34.63
diabetes,DIQ050,float64,1445,13541,3,90.36
diabetes,DID060,float64,427,14559,46,97.15
diabetes,DIQ060U,float64,418,14568,2,97.21
diabetes,DIQ070,float64,2679,12307,3,82.12
diabetes,DIQ230,float64,1443,13543,6,90.37
diabetes,DIQ240,float64,1443,13543,3,90.37
diabetes,DID250,float64,1107,13879,20,92.61
diabetes,DID260,float64,1440,13546,18,90.39
diabetes,DIQ260U,float64,1135,13851,4,92.43
diabetes,DIQ275,float64,1443,13543,3,90.37
diabetes,DIQ280,float64,1218,13768,75,91.87
diabetes,DIQ291,float64,1221,13765,8,91.85
diabetes,DIQ300S,float64,1433,13553,99,90.44
diabetes,DIQ300D,float64,1433,13553,78,90.44
diabetes,DID310S,float64,1435,13551,46,90.42
diabetes,DID310D,float64,1435,13551,45,90.42
diabetes,DID320,float64,1434,13552,126,90.43
diabetes,DID330,float64,1349,13637,45,91.0
diabetes,DID341,float64,1430,13556,26,90.46
diabetes,DID350,float64,1430,13556,16,90.46
diabetes,DIQ350U,float64,1166,13820,4,92.22
diabetes,DIQ360,float64,1434,13552,6,90.43
diabetes,DIQ080,float64,1434,13552,3,90.43
